1_CP001111_1_Stenotrophomonas_maltophilia_R551_3__complete_genome_BAC	4573969	326	0
1_CP003583_1_Enterococcus_faecium_DO__complete_genome_BAC	2698137	24	0
1_AP008957_1_Rhodococcus_erythropolis_PR4_DNA__complete_genome_BAC	6516310	15	0
1_CP013737_1_Herbaspirillum_rubrisubalbicans_M1__complete_genome_BAC	5611261	10	0
1_CP002039_1_Herbaspirillum_seropedicae_SmR1__complete_genome_BAC	5513887	8	0
1_CP012900_1_Stenotrophomonas_acidaminiphila_strain_ZAC14D2_NAIMI4_2__complete_genome_BAC	4138297	5	0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438	3	0
1_CP002449_1_Alicycliphilus_denitrificans_BC__complete_genome_BAC	4637013	3	0
1_CP001392_1_Acidovorax_ebreus_TPSY__complete_genome_BAC	3796573	3	0
1_CP017420_1_Delftia_tsuruhatensis_strain_CM13__complete_genome_BAC	7195716	2	0
1_CP016294_1_Stenotrophomonas_rhizophila_strain_QL_P4__complete_genome_BAC	4198652	2	0
1_CP003153_1_Dechlorosoma_suillum_PS__complete_genome_BAC	3806980	2	0
1_CP000542_1_Verminephrobacter_eiseniae_EF01_2__complete_genome_BAC	5566749	2	0
1_AP014630_1_Acinetobacter_guillouiae_DNA__complete_geonome__strain__NBRC_110550_BAC	4648418	2	0
