1_CP001111_1_Stenotrophomonas_maltophilia_R551_3__complete_genome_BAC	4573969	123	0
1_CP018420_1_Pseudomonas_veronii_strain_R02_chromosome__complete_genome_BAC	6852809	43	0
1_CP022048_2_Brevundimonas_vesicularis_strain_FDAARGOS_289_chromosome__complete_genome_BAC	3345527	29	0
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC	5529134	27	0
1_AM181176_4_Pseudomonas_fluorescens_SBW25_complete_genome_BAC	6722539	24	0
1_CP014546_1_Pseudomonas_azotoformans_strain_S4__complete_genome_BAC	6859618	23	0
1_CP011117_2_Pseudomonas_synxantha_strain_LBUM223_chromosome__complete_genome_BAC	6690033	15	0
1_CP018049_1_Pseudomonas_orientalis_strain_F9__complete_genome_BAC	5986236	14	0
1_CP004045_1_Pseudomonas_poae_RE*1_1_14__complete_genome_BAC	5512241	14	0
1_CP014947_1_Pseudomonas_koreensis_strain_D26__complete_genome_BAC	6301761	13	0
1_CP011507_1_Pseudomonas_trivialis_strain_IHBB745__complete_genome_BAC	6452803	13	0
1_CP010896_1_Pseudomonas_simiae_strain_PCL1751__complete_genome_BAC	6143950	12	0
1_AL646052_1_Ralstonia_solanacearum_GMI1000_chromosome_complete_sequence_BAC	3716413	11	0
1_CP015639_1_Pseudomonas_lurida_strain_L228_chromosome__complete_genome_BAC	6175426	9	0
1_CP012897_1_Brevundimonas_sp__DS20__complete_genome_BAC	3475610	8	0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438	5	0
1_CP015600_1_Pseudomonas_antarctica_strain_PAMC_27494_chromosome__complete_genome_BAC	6441449	4	0
1_CP012605_1_Ralstonia_insidiosa_strain_FC1138_chromosome_1__complete_sequence_BAC	3968071	4	0
1_CP010350_1_Acinetobacter_johnsonii_XBB1__complete_genome_BAC	3509795	4	0
1_CP001068_1_Ralstonia_pickettii_12J_chromosome_1__complete_sequence_BAC	3942557	4	0
1_AE015451_2_Pseudomonas_putida_KT2440_complete_genome_BAC	6181873	4	0
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC	4686340	3	0
1_CP015614_1_Brevundimonas_naejangsanensis_strain_B1_chromosome__complete_genome_BAC	2971535	3	0
1_CP012900_1_Stenotrophomonas_acidaminiphila_strain_ZAC14D2_NAIMI4_2__complete_genome_BAC	4138297	3	0
1_CP012400_2_Pseudomonas_yamanorum_strain_LBUM636_chromosome__complete_genome_BAC	6856835	3	0
1_CP005960_1_Pseudomonas_mandelii_JR_1__complete_genome_BAC	6778052	3	0
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC	6233254	2	0
1_CP002585_1_Pseudomonas_brassicacearum_subsp__brassicacearum_NFM421__complete_genome_BAC	6843248	2	0
