1_CP003583_1_Enterococcus_faecium_DO__complete_genome_BAC	2698137	394	0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438	14	0
1_CP001111_1_Stenotrophomonas_maltophilia_R551_3__complete_genome_BAC	4573969	6	0
1_CP022048_2_Brevundimonas_vesicularis_strain_FDAARGOS_289_chromosome__complete_genome_BAC	3345527	4	0
1_CP018420_1_Pseudomonas_veronii_strain_R02_chromosome__complete_genome_BAC	6852809	4	0
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC	5529134	4	0
1_CP015639_1_Pseudomonas_lurida_strain_L228_chromosome__complete_genome_BAC	6175426	3	0
1_CP010350_1_Acinetobacter_johnsonii_XBB1__complete_genome_BAC	3509795	3	0
1_CP004045_1_Pseudomonas_poae_RE*1_1_14__complete_genome_BAC	5512241	3	0
1_AE016830_1_Enterococcus_faecalis_V583_chromosome__complete_genome_BAC	3218031	3	0
1_CP015600_1_Pseudomonas_antarctica_strain_PAMC_27494_chromosome__complete_genome_BAC	6441449	2	0
1_CP011117_2_Pseudomonas_synxantha_strain_LBUM223_chromosome__complete_genome_BAC	6690033	2	0
1_AM181176_4_Pseudomonas_fluorescens_SBW25_complete_genome_BAC	6722539	2	0
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC	2499279	2	0
1_AE015451_2_Pseudomonas_putida_KT2440_complete_genome_BAC	6181873	2	0
