1_CP001111_1_Stenotrophomonas_maltophilia_R551_3__complete_genome_BAC	4573969	13	0
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC	5529134	6	0
1_CP022048_2_Brevundimonas_vesicularis_strain_FDAARGOS_289_chromosome__complete_genome_BAC	3345527	5	0
1_CP015639_1_Pseudomonas_lurida_strain_L228_chromosome__complete_genome_BAC	6175426	4	0
1_CP015600_1_Pseudomonas_antarctica_strain_PAMC_27494_chromosome__complete_genome_BAC	6441449	4	0
1_CP018420_1_Pseudomonas_veronii_strain_R02_chromosome__complete_genome_BAC	6852809	3	0
1_AM181176_4_Pseudomonas_fluorescens_SBW25_complete_genome_BAC	6722539	3	0
1_CP014546_1_Pseudomonas_azotoformans_strain_S4__complete_genome_BAC	6859618	2	0
1_CP012647_1_Cutibacterium_acnes_strain_KCOM_1861____ChDC_B594__chromosome__complete_genome_BAC	2522438	2	0
1_CP011507_1_Pseudomonas_trivialis_strain_IHBB745__complete_genome_BAC	6452803	2	0
1_CP011117_2_Pseudomonas_synxantha_strain_LBUM223_chromosome__complete_genome_BAC	6690033	2	0
